1            0.0700 3.5500
2            0.0300 2.4200
3            0.0660 3.5000
4            0.1700 3.1200
5            0.0001 3.0000
6            0.1400 2.9000
7            0.1700 3.0700
8            0.1050 3.7500
9            0.2100 2.9600
10           0.1700 3.0000
11           0.0700 3.5500
